Date de naissance complète,Année de naissance,Catégorie,Inscription à la lettre d'information,Date d'inscription,Code postal,Ville
,1974,Administrateurs,Oui,2023-03-27,69008,Lyon
,1994,Anciens membres,Non,2023-03-27,,
,1952,Référent au CAC,Oui,2023-03-27,69008,Lyon
,1945,Membres actifs,Oui,2023-03-27,69008,Lyon
,,Membres actifs,Oui,2023-03-27,69008,Lyon
,1951,Référent au CAC,Oui,2023-03-27,69008,Lyon
,1968,Référent au CAC,Oui,2023-03-27,69008,Lyon
,1979,Membres actifs,Non,2023-03-27,69008,Lyon
,1957,Membres actifs,Oui,2023-03-27,69008,Lyon
,1942,Référent au CAC,Oui,2023-03-27,69008,Lyon
,1957,Membres actifs,Oui,2023-03-27,69008,Lyon
,1953,Référent au CAC,Oui,2023-03-27,69008,Lyon
,1941,Membres actifs,Oui,2023-03-31,69008,Lyon
,1960,Membres actifs,Oui,2023-03-31,69008,Lyon
,1956,Anciens membres,Oui,2023-03-31,69140,Rillieux-la-Pape
,1960,Membres actifs,Oui,2023-03-31,69008,Lyon
,1966,Anciens membres,Oui,2023-03-31,69200,Vénissieux
,1977,Membres actifs,Oui,2023-03-31,69008,Lyon
,1960,Membres actifs,Oui,2023-03-31,69008,Lyon
,1951,Anciens membres,Oui,2023-03-31,69007,Lyon
,,Anciens membres,Oui,2023-03-31,69008,Lyon
,1959,Anciens membres,Non,2023-03-31,69008,Lyon
,1957,Membres actifs,Oui,2023-03-31,69008,Lyon
,1950,Membres actifs,Oui,2023-05-03,69008,Lyon
,,Membres actifs,Oui,2023-05-03,69008,Lyon
,1953,Membres actifs,Oui,2023-05-26,69008,Lyon
,1954,Membres actifs,Oui,2023-05-26,69008,Lyon
,1954,Membres actifs,Oui,2023-05-26,69008,Lyon
,1954,Membres actifs,Oui,2023-05-26,69008,Lyon
,1979,Anciens membres,Non,2023-05-26,,
,1951,Anciens membres,Oui,2023-05-26,69500,Bron
,1978,Anciens membres,Oui,2023-05-26,69008,Lyon
,1953,Membres actifs,Oui,2023-05-26,69008,Lyon
,1980,Membres actifs,Oui,2023-05-26,69008,Lyon
,1975,Administrateurs,Oui,2023-05-26,69008,Lyon
,1987,Anciens membres,Oui,2023-05-26,69008,Lyon
,1973,Membres actifs,Oui,2023-05-26,69008,Lyon
,1977,Membres actifs,Oui,2023-05-26,69008,Lyon
,1957,Membres actifs,Oui,2023-05-26,69008,Lyon
,1983,Anciens membres,Oui,2023-06-09,69008,Lyon
,1981,Anciens membres,Oui,2023-06-09,69008,Lyon
,1947,Membres actifs,Oui,2023-07-12,69008,Lyon
,1961,Membres actifs,Oui,2023-09-02,69008,Lyon 8e Arrondissement
,1961,Membres actifs,Oui,2023-09-02,69008,Lyon
,,Membres actifs,Oui,2023-09-20,69008,Lyon
,1964,Membres actifs,Oui,2023-08-31,69008,Lyon
,1962,Anciens membres,Oui,2023-08-02,69008,Lyon
,1950,Membres actifs,Oui,2023-09-29,69008,Lyon
,1953,Membres actifs,Oui,2023-09-29,69008,Lyon
,1956,Anciens membres,Oui,2023-09-30,69200,Vénissieux
,1938,Anciens membres,Oui,2023-09-30,69008,Lyon
,1962,Anciens membres,Oui,2023-09-30,69008,Lyon
,1949,Membres actifs,Oui,2023-10-06,69008,Lyon
,1993,Anciens membres,Oui,2023-10-27,,
,1953,Anciens membres,Oui,2023-10-06,69008,Lyon
,1968,Membres actifs,Oui,2023-10-06,69008,Lyon
,1965,Anciens membres,Non,2023-10-27,,
,1978,Anciens membres,Oui,2023-10-27,69008,Lyon
,1978,Anciens membres,Oui,2024-01-26,69008,Lyon
,1978,Membres actifs,Oui,2024-01-26,69008,Lyon
,1949,Anciens membres,Oui,2024-01-26,69008,Lyon
,1938,Membres actifs,Oui,2024-01-26,69008,Lyon
,1960,Membres actifs,Oui,2024-01-30,69200,Vénissieux
,1958,Anciens membres,Oui,2024-02-06,69008,Lyon
,1970,Anciens membres,Oui,2024-02-23,69008,Lyon
,,Anciens membres,Oui,2024-02-23,69008,Lyon
,1969,Anciens membres,Oui,2024-02-23,69008,Lyon
,1970,Anciens membres,Oui,2024-02-23,69008,Lyon
,1989,Anciens membres,Oui,2024-02-23,69008,Lyon
,1964,Membres actifs,Oui,2024-02-23,69200,Vénissieux
,1962,Membres actifs,Oui,2024-02-23,69200,Vénissieux
,,Membres actifs,Oui,2024-02-23,69008,Lyon
,1970,Anciens membres,Oui,2024-02-23,69008,Lyon
,,Anciens membres,Oui,2024-02-23,69009,Lyon
,1970,Membres actifs,Oui,2024-02-23,69008,Lyon
,,Membres actifs,Oui,2024-02-23,69008,Lyon
,1960,Membres actifs,Oui,2024-02-23,69007,Lyon
,,Membres actifs,Oui,2024-02-23,69008,Lyon
,1955,Anciens membres,Oui,2024-02-23,69008,Lyon
,1950,Anciens membres,Oui,2024-02-23,69008,Lyon
,1953,Référent au CAC,Oui,2024-02-24,69008,Lyon
,,Anciens membres,Oui,2024-02-24,,
,,Membres actifs,Non,2024-02-23,69008,Lyon
,1990,Membres actifs,Oui,2024-03-29,69008,Lyon
,1955,Anciens membres,Oui,2024-03-29,69008,Lyon
,1937,Membres actifs,Non,2024-03-29,69008,Lyon
,1957,Anciens membres,Oui,2024-03-29,69008,Lyon
,1977,Anciens membres,Oui,2024-04-05,69008,Lyon
,1970,Anciens membres,Oui,2024-04-27,69008,Lyon
,1951,Anciens membres,Oui,2024-04-27,69008,Lyon
,1972,Membres actifs,Oui,2024-05-15,69008,Lyon
,1978,Membres actifs,Oui,2024-05-15,69008,Lyon
,1968,Membres actifs,Oui,2024-05-31,69008,Lyon
,1972,Anciens membres,Oui,2024-06-08,69008,Lyon
,1992,Anciens membres,Oui,2024-06-08,69008,Lyon
,1997,Anciens membres,Oui,2024-06-08,69006,Lyon
,1970,Anciens membres,Oui,2024-06-08,69008,Lyon
,1970,Membres actifs,Oui,2024-06-21,69008,Lyon
,1966,Membres actifs,Oui,2024-06-21,69008,Lyon
,1968,Membres actifs,Oui,2024-08-08,69008,Lyon
,1988,Membres actifs,Oui,2024-08-08,69008,Lyon
,1986,Membres actifs,Oui,2024-09-22,69008,Lyon
,1947,Membres actifs,Oui,2024-09-21,69008,Lyon
,1954,Anciens membres,Oui,2024-09-21,69008,Lyon
,1945,Anciens membres,Oui,2024-09-21,69008,Lyon
,1951,Anciens membres,Oui,2024-09-21,69008,Lyon
,1970,Anciens membres,Oui,2024-09-21,69008,Lyon
,1948,Membres actifs,Oui,2024-09-21,69008,Lyon
,1998,Membres actifs,Oui,2024-09-21,69008,Lyon
,1982,Anciens membres,Non,2024-09-21,69008,Lyon
,1949,Membres actifs,Oui,2024-09-21,69008,Lyon
,1948,Anciens membres,Non,2024-09-21,69008,Lyon
,1990,Anciens membres,Oui,2024-10-12,69008,Lyon
,1990,Anciens membres,Oui,2024-10-12,69008,Lyon
,1986,Anciens membres,Oui,2024-10-12,69008,Lyon
,1983,Anciens membres,Oui,2024-10-12,69008,Lyon
,1986,Membres actifs,Oui,2024-10-12,69008,Lyon
,1986,Membres actifs,Oui,2024-10-12,69008,Lyon
,1970,Anciens membres,Oui,2024-11-29,69008,Lyon
,1959,Anciens membres,Oui,2025-01-31,69008,Lyon
,1977,Anciens membres,Oui,2025-01-31,69200,Vénissieux
,,Membres actifs,Oui,2025-01-31,69008,Lyon
,1957,Anciens membres,Oui,2025-02-28,69008,Lyon
,1968,Anciens membres,Oui,2025-02-28,69200,Vénissieux
,1964,Membres actifs,Oui,2025-02-28,69008,Lyon
,1963,Anciens membres,Oui,2025-02-28,69008,Lyon
,1984,Anciens membres,Oui,2025-02-28,69008,Lyon
,1979,Anciens membres,Oui,2025-02-28,69008,Lyon
,1992,Anciens membres,Oui,2025-03-28,69200,Vénissieux
,,Anciens membres,Oui,2025-03-28,69008,Lyon
,1956,Membres actifs,Oui,2025-03-28,69008,Lyon
,1966,Anciens membres,Oui,2025-03-28,69008,Lyon
,,Anciens membres,Oui,2025-03-28,69008,Lyon
,,Anciens membres,Oui,2025-03-28,69008,Lyon
,1974,Membres actifs,Oui,2025-03-28,69008,Lyon
,1968,Membres actifs,Oui,2025-03-28,69008,Lyon
,1950,Membres actifs,Oui,2025-04-17,69008,Lyon
,1987,Anciens membres,Oui,2025-04-15,69008,Lyon
,1962,Anciens membres,Oui,2025-04-26,69008,Lyon
,1988,Membres actifs,Oui,2025-04-26,69008,Lyon
,1986,Membres actifs,Oui,2025-04-26,69008,Lyon
,,Anciens membres,Oui,2025-05-04,69008,Lyon
,1949,Anciens membres,Oui,2025-05-12,69008,Lyon
,1984,Anciens membres,Oui,2025-05-10,69008,Lyon
,1991,Anciens membres,Oui,2025-05-10,69008,Lyon
,2002,Membres actifs,Oui,2025-05-12,69008,Lyon
,1960,Membres actifs,Oui,2025-05-24,69008,Lyon
,1959,Anciens membres,Oui,2025-05-24,69008,Lyon
,,Anciens membres,Oui,2025-05-24,69008,Lyon
,1951,Anciens membres,Oui,2025-05-24,69008,Lyon
,1951,Anciens membres,Oui,2025-05-24,69008,Lyon
,1949,Administrateurs,Oui,2025-05-24,69008,Lyon
,1961,Membres actifs,Oui,2025-05-27,69008,Lyon
,1992,Anciens membres,Oui,2025-06-16,69008,Lyon
,1956,Membres actifs,Oui,2025-09-10,69008,Lyon
,1950,Membres actifs,Oui,2025-09-10,69008,Lyon
,1998,Membres actifs,Oui,2025-09-20,69008,Lyon
,1967,Anciens membres,Non,2025-09-20,69008,Lyon
,1997,Membres actifs,Oui,2025-09-20,69008,Lyon
,2000,Membres actifs,Oui,2025-09-20,69008,Lyon
,1978,Anciens membres,Oui,2025-09-20,69008,Lyon
,1970,Référent au CAC,Oui,2025-09-20,69008,Lyon
,1976,Anciens membres,Oui,2025-09-20,69008,Lyon
,1973,Anciens membres,Oui,2025-09-20,69008,Lyon
,1983,Référent au CAC,Oui,2025-09-20,69008,Lyon
,1980,Membres actifs,Oui,2025-09-20,69008,Lyon
,1986,Membres actifs,Oui,2025-09-20,69008,Lyon
,,Anciens membres,Non,2025-10-03,69110,Sainte-Foy-les-Lyon
,,Anciens membres,Oui,2025-10-03,69110,Sainte-Foy-les-Lyon
,,Anciens membres,Non,2025-10-03,69110,Sainte-Foy-les-Lyon
